control_mode , commmand_nav , roll         , pitch        , yaw          , altitude     , airspeed     , yaw_nav      , yaw_error    , altitude_nav , roll_L1      , pitch_TECS   , throttle_TECS, aileron_rc   , elevator_rc  , rudder_rc    , throttle_rc  , aileron      , elevator     , rudder       , throttle     , debug1       , debug2       , debug3       , debug4       
10.000000    , 22.000000    , 0.001522     , 0.022185     , -2.705459    , -0.010000    , 0.000172     , -2.705462    , 0.000000     , 0.000000     , 0.000000     , 0.087092     , 0.000000     , -4500.000000 , -4500.000000 , -4500.000000 , 100.000000   , -0.001522    , 0.000782     , -0.000761    , 4.999983     , 0.000000     , -0.001522    , 0.030001     , 49.999828    
10.000000    , 22.000000    , 0.001521     , 0.022183     , -2.705459    , -0.010000    , 0.000226     , -2.705459    , 0.000000     , 0.000000     , 0.000000     , 0.087092     , 0.000000     , -4500.000000 , -4500.000000 , -4500.000000 , 100.000000   , -0.001521    , 0.000782     , -0.000761    , 4.999978     , 0.000000     , -0.001521    , 0.030001     , 49.999775    
10.000000    , 22.000000    , 0.001521     , 0.022178     , -2.705459    , -0.010000    , 0.000286     , -2.705459    , 0.000000     , 0.000000     , 0.000000     , 0.087092     , 0.000000     , -4500.000000 , -4500.000000 , -4500.000000 , 100.000000   , -0.001521    , 0.000782     , -0.000760    , 4.999971     , 0.000000     , -0.001521    , 0.030001     , 49.999714    
10.000000    , 22.000000    , 0.001520     , 0.022171     , -2.705459    , -0.010000    , 0.000360     , -2.705459    , 0.000000     , 0.000000     , 0.000000     , 0.087092     , 0.000000     , -4500.000000 , -4500.000000 , -4500.000000 , 100.000000   , -0.001520    , 0.000783     , -0.000760    , 4.999964     , 0.000000     , -0.001520    , 0.030001     , 49.999641    
10.000000    , 22.000000    , 0.001520     , 0.022164     , -2.705459    , -0.010000    , 0.000431     , -2.705459    , 0.000000     , 0.000000     , 0.000000     , 0.087092     , 0.000000     , -4500.000000 , -4500.000000 , -4500.000000 , 100.000000   , -0.001520    , 0.000784     , -0.000760    , 4.999957     , 0.000000     , -0.001520    , 0.030001     , 49.999569    
10.000000    , 22.000000    , 0.001520     , 0.022163     , -2.705459    , -0.010000    , 0.000431     , -2.705459    , 0.000000     , 0.000000     , 0.000000     , 0.087092     , 0.000000     , -4500.000000 , -4500.000000 , -4500.000000 , 100.000000   , -0.001520    , 0.000784     , -0.000760    , 4.999957     , 0.000000     , -0.001520    , 0.030001     , 49.999569    
10.000000    , 22.000000    , 0.001520     , 0.022156     , -2.705460    , -0.010000    , 0.000489     , -2.705459    , 0.000000     , 0.000000     , 0.000000     , 0.087092     , 0.000000     , -4500.000000 , -4500.000000 , -4500.000000 , 100.000000   , -0.001520    , 0.000784     , -0.000760    , 4.999951     , 0.000000     , -0.001520    , 0.030001     , 49.999512    
10.000000    , 22.000000    , 0.001519     , 0.022149     , -2.705460    , -0.010000    , 0.000539     , -2.705459    , 0.000000     , 0.000000     , 0.000000     , 0.087092     , 0.000000     , -4500.000000 , -4500.000000 , -4500.000000 , 100.000000   , -0.001519    , 0.000785     , -0.000760    , 4.999946     , 0.000000     , -0.001519    , 0.030001     , 49.999462    
10.000000    , 22.000000    , 0.001519     , 0.022141     , -2.705461    , -0.010000    , 0.000578     , -2.705459    , 0.000000     , 0.000000     , 0.000000     , 0.087092     , 0.000000     , -4500.000000 , -4500.000000 , -4500.000000 , 100.000000   , -0.001519    , 0.000786     , -0.000760    , 4.999942     , 0.000000     , -0.001519    , 0.030001     , 49.999424    
10.000000    , 22.000000    , 0.001519     , 0.022132     , -2.705462    , -0.010000    , 0.000623     , -2.705459    , 0.000000     , 0.000000     , 0.000000     , 0.087092     , 0.000000     , -4500.000000 , -4500.000000 , -4500.000000 , 100.000000   , -0.001519    , 0.000787     , -0.000759    , 4.999938     , 0.000000     , -0.001519    , 0.030001     , 49.999378    
10.000000    , 22.000000    , 0.001519     , 0.022122     , -2.705463    , -0.010000    , 0.000660     , -2.705459    , 0.000000     , 0.000000     , 0.000000     , 0.087092     , 0.000000     , -4500.000000 , -4500.000000 , -4500.000000 , 100.000000   , -0.001519    , 0.000788     , -0.000759    , 4.999934     , 0.000000     , -0.001519    , 0.030001     , 49.999340    
10.000000    , 22.000000    , 0.001518     , 0.022110     , -2.705465    , -0.010000    , 0.000691     , -2.705463    , 0.000000     , 0.000000     , 0.000000     , 0.087092     , 0.000000     , -4500.000000 , -4500.000000 , -4500.000000 , 100.000000   , -0.001518    , 0.000789     , -0.000759    , 4.999931     , 0.000000     , -0.001518    , 0.030001     , 49.999310    
10.000000    , 22.000000    , 0.001518     , 0.022100     , -2.705467    , -0.010000    , 0.000710     , -2.705463    , 0.000000     , 0.000000     , 0.000000     , 0.087092     , 0.000000     , -4500.000000 , -4500.000000 , -4500.000000 , 100.000000   , -0.001518    , 0.000790     , -0.000759    , 4.999929     , 0.000000     , -0.001518    , 0.030001     , 49.999290    
10.000000    , 22.000000    , 0.001518     , 0.022092     , -2.705467    , -0.010000    , 0.000719     , -2.705463    , 0.000000     , 0.000000     , 0.000000     , 0.087092     , 0.000000     , -4500.000000 , -4500.000000 , -4500.000000 , 100.000000   , -0.001518    , 0.000791     , -0.000759    , 4.999928     , 0.000000     , -0.001518    , 0.030001     , 49.999283    
10.000000    , 22.000000    , 0.001518     , 0.022082     , -2.705469    , -0.010000    , 0.000724     , -2.705463    , 0.000000     , 0.000000     , 0.000000     , 0.087092     , 0.000000     , -4500.000000 , -4500.000000 , -4500.000000 , 100.000000   , -0.001518    , 0.000792     , -0.000759    , 4.999928     , 0.000000     , -0.001518    , 0.030001     , 49.999275    
10.000000    , 22.000000    , 0.001518     , 0.022073     , -2.705471    , -0.010000    , 0.000723     , -2.705463    , 0.000000     , 0.000000     , 0.000000     , 0.087092     , 0.000000     , -4500.000000 , -4500.000000 , -4500.000000 , 100.000000   , -0.001518    , 0.000793     , -0.000759    , 4.999928     , 0.000000     , -0.001518    , 0.030001     , 49.999275    
10.000000    , 22.000000    , 0.001518     , 0.022066     , -2.705472    , -0.010000    , 0.000716     , -2.705471    , 0.000000     , 0.000000     , 0.000000     , 0.087092     , 0.000000     , -4500.000000 , -4500.000000 , -4500.000000 , 100.000000   , -0.001518    , 0.000793     , -0.000759    , 4.999928     , 0.000000     , -0.001518    , 0.030001     , 49.999283    
10.000000    , 22.000000    , 0.001518     , 0.022056     , -2.705473    , -0.010000    , 0.000696     , -2.705471    , 0.000000     , 0.000000     , 0.000000     , 0.087092     , 0.000000     , -4500.000000 , -4500.000000 , -4500.000000 , 100.000000   , -0.001518    , 0.000794     , -0.000759    , 4.999930     , 0.000000     , -0.001518    , 0.030001     , 49.999302    
10.000000    , 22.000000    , 0.001518     , 0.022050     , -2.705474    , -0.010000    , 0.000678     , -2.705471    , 0.000000     , 0.000000     , 0.000000     , 0.087092     , 0.000000     , -4500.000000 , -4500.000000 , -4500.000000 , 100.000000   , -0.001518    , 0.000795     , -0.000759    , 4.999932     , 0.000000     , -0.001518    , 0.030001     , 49.999321    
10.000000    , 22.000000    , 0.001517     , 0.022042     , -2.705474    , -0.010000    , 0.000653     , -2.705471    , 0.000000     , 0.000000     , 0.000000     , 0.087092     , 0.000000     , -4500.000000 , -4500.000000 , -4500.000000 , 100.000000   , -0.001517    , 0.000796     , -0.000759    , 4.999935     , 0.000000     , -0.001517    , 0.030001     , 49.999348    
10.000000    , 22.000000    , 0.001517     , 0.022034     , -2.705476    , -0.010000    , 0.000619     , -2.705471    , 0.000000     , 0.000000     , 0.000000     , 0.087092     , 0.000000     , -4500.000000 , -4500.000000 , -4500.000000 , 100.000000   , -0.001517    , 0.000797     , -0.000758    , 4.999938     , 0.000000     , -0.001517    , 0.030001     , 49.999382    
10.000000    , 22.000000    , 0.001516     , 0.022024     , -2.705477    , -0.010000    , 0.000555     , -2.705476    , 0.000000     , 0.000000     , 0.000000     , 0.087092     , 0.000000     , -4500.000000 , -4500.000000 , -4500.000000 , 100.000000   , -0.001516    , 0.000798     , -0.000758    , 4.999945     , 0.000000     , -0.001516    , 0.030001     , 49.999447    
10.000000    , 22.000000    , 0.001516     , 0.022018     , -2.705477    , -0.010000    , 0.000522     , -2.705476    , 0.000000     , 0.000000     , 0.000000     , 0.087092     , 0.000000     , -4500.000000 , -4500.000000 , -4500.000000 , 100.000000   , -0.001516    , 0.000798     , -0.000758    , 4.999948     , 0.000000     , -0.001516    , 0.030001     , 49.999477    
10.000000    , 22.000000    , 0.001516     , 0.022012     , -2.705477    , -0.010000    , 0.000489     , -2.705476    , 0.000000     , 0.000000     , 0.000000     , 0.087092     , 0.000000     , -4500.000000 , -4500.000000 , -4500.000000 , 100.000000   , -0.001516    , 0.000799     , -0.000758    , 4.999951     , 0.000000     , -0.001516    , 0.030001     , 49.999512    
10.000000    , 22.000000    , 0.001515     , 0.022004     , -2.705478    , -0.010000    , 0.000436     , -2.705476    , 0.000000     , 0.000000     , 0.000000     , 0.087092     , 0.000000     , -4500.000000 , -4500.000000 , -4500.000000 , 100.000000   , -0.001515    , 0.000800     , -0.000758    , 4.999957     , 0.000000     , -0.001515    , 0.030001     , 49.999565    
10.000000    , 22.000000    , 0.001515     , 0.021999     , -2.705478    , -0.010000    , 0.000407     , -2.705476    , 0.000000     , 0.000000     , 0.000000     , 0.087092     , 0.000000     , -4500.000000 , -4500.000000 , -4500.000000 , 100.000000   , -0.001515    , 0.000800     , -0.000757    , 4.999959     , 0.000000     , -0.001515    , 0.030001     , 49.999592    
10.000000    , 22.000000    , 0.001514     , 0.021995     , -2.705478    , 0.010000     , 0.000381     , -2.705478    , 0.000000     , 0.000000     , 0.000000     , 0.087092     , 0.000000     , -4500.000000 , -4500.000000 , -4500.000000 , 100.000000   , -0.001514    , -0.005199    , -0.000757    , 4.999962     , 0.000000     , -0.001514    , -0.029999    , 49.999619    
10.000000    , 22.000000    , 0.001514     , 0.021990     , -2.705478    , 0.010000     , 0.000324     , -2.705478    , 0.000000     , 0.000000     , 0.000000     , 0.087092     , 0.000000     , -4500.000000 , -4500.000000 , -4500.000000 , 100.000000   , -0.001514    , -0.005199    , -0.000757    , 4.999968     , 0.000000     , -0.001514    , -0.029999    , 49.999676    
10.000000    , 22.000000    , 0.001513     , 0.021987     , -2.705478    , 0.010000     , 0.000289     , -2.705478    , 0.000000     , 0.000000     , 0.000000     , 0.087092     , 0.000000     , -4500.000000 , -4500.000000 , -4500.000000 , 100.000000   , -0.001513    , -0.005199    , -0.000757    , 4.999971     , 0.000000     , -0.001513    , -0.029999    , 49.999710    
10.000000    , 22.000000    , 0.001513     , 0.021984     , -2.705478    , 0.010000     , 0.000248     , -2.705478    , 0.000000     , 0.000000     , 0.000000     , 0.087092     , 0.000000     , -4500.000000 , -4500.000000 , -4500.000000 , 100.000000   , -0.001513    , -0.005198    , -0.000756    , 4.999975     , 0.000000     , -0.001513    , -0.029999    , 49.999752    
10.000000    , 22.000000    , 0.001512     , 0.021982     , -2.705478    , 0.010000     , 0.000212     , -2.705478    , 0.000000     , 0.000000     , 0.000000     , 0.087092     , 0.000000     , -4500.000000 , -4500.000000 , -4500.000000 , 100.000000   , -0.001512    , -0.005198    , -0.000756    , 4.999979     , 0.000000     , -0.001512    , -0.029999    , 49.999786    
10.000000    , 22.000000    , 0.001511     , 0.021979     , -2.705477    , 0.010000     , 0.000135     , -2.705478    , 0.000000     , 0.000000     , 0.000000     , 0.087092     , 0.000000     , -4500.000000 , -4500.000000 , -4500.000000 , 100.000000   , -0.001511    , -0.005198    , -0.000756    , 4.999987     , 0.000000     , -0.001511    , -0.029999    , 49.999866    
10.000000    , 22.000000    , 0.001511     , 0.021979     , -2.705477    , 0.010000     , 0.000103     , -2.705478    , 0.000000     , 0.000000     , 0.000000     , 0.087092     , 0.000000     , -4500.000000 , -4500.000000 , -4500.000000 , 100.000000   , -0.001511    , -0.005198    , -0.000756    , 4.999990     , 0.000000     , -0.001511    , -0.029999    , 49.999897    
10.000000    , 22.000000    , 0.001511     , 0.021978     , -2.705476    , 0.010000     , 0.000074     , -2.705478    , 0.000000     , 0.000000     , 0.000000     , 0.087092     , 0.000000     , -4500.000000 , -4500.000000 , -4500.000000 , 100.000000   , -0.001511    , -0.005198    , -0.000755    , 4.999993     , 0.000000     , -0.001511    , -0.029999    , 49.999928    
10.000000    , 22.000000    , 0.001509     , 0.021976     , -2.705474    , 0.010000     , 0.000128     , -2.705478    , 0.000000     , 0.000000     , 0.000000     , 0.087092     , 0.000000     , -4500.000000 , -4500.000000 , -4500.000000 , 100.000000   , -0.001509    , -0.005198    , -0.000754    , 4.999987     , 0.000000     , -0.001509    , -0.029999    , 49.999870    
